date,presence,source,source_detailed
19731114,unclear,MSS,
20021209,yes,ETM,
20011129,yes,ETM,
19640701,yes,study,"Korotkevich, Ye: S. (1964): The distribution of emperor penguin. Soviet Antarct. Exped. Inf. Bull., 4, 371-375"
