date,presence,source,notes
19891219,unclear,TM,
19891203,unclear,TM,
19721203,yes,MSS,
19991215,yes,ETM,
20011120,yes,ETM,
20021227,unclear,ETM,
20021204,yes,ETM,
20011115,yes,ETM,
19991212,yes,ETM,
19930701,yes,study,10.1017/s0954102093000203 
19620701,yes,study,10.1017/S0954102016000559
