date,presence,source,source_detailed
19860701,yes,study,"Hempel, G., and B. Stonehouse. 1987. Aerial counts of penguins, seals and whales in the eastern Weddell Sea. Berichte zur Polarforschung 39, 227–220"
20021220,yes,ETM,
20020116,unclear,ETM,
20021202,yes,ETM,
19721218,unclear,MSS,
19841126,unclear,MSS,
19860121,unclear,MSS,
19961102,yes,TM,
19841226,unclear,TM,
19970128,yes,TM,
20011226,unclear,ETM,
