date,presence,source,notes
19891114,yes,TM,Multispectral_LT04_L2SR_135107_19891114_20200916_02_T2_MTL
20011122,yes,ETM,Multispectral_LE07_L2SR_136107_20011122_20200917_02_T2_MTL
20021127,unclear,ETM,Multispectral_LE07_L2SR_134107_20021127_20200916_02_T2_MTL
19570701,yes,study,"WILLING, R. L. (1958). Australian Discoveries of Emperor Penguin Rookeries in Antarctica during 1954–57. Nature, 182(4646), 1393–1394. doi:10.1038/1821393a0 "
