date,presence,source,source_detailed
20120701,yes,study,from MAPPPD: 10.1007/s00300-012-1172-9
19900120,yes,TM,Multispectral_LT04_L2SR_124107_19900120_20200916_02_T2_MTL
19891205,no,TM,Multispectral_LT04_L2SR_122107_19891205_20200916_02_T2_MTL
19891119,no,TM,Multispectral_LT04_L2SR_122107_19891119_20200916_02_T2_MTL
20021114,yes,ETM,Multispectral_LE07_L2SR_123107_20021114_20200916_02_T2_MTL
20011229,no,ETM,Multispectral_LE07_L2SR_123107_20011229_20200917_02_T2_MTL
