date,presence,source,source_detailed
20091118,yes,study,10.1371/journal.pone.0033751
19961117,yes,TM,Multispectral_LT05_L2SR_006113_19961117_20200911_02_T2_MTL
19841202,no,TM,Multispectral_LT05_L2SR_006113_19841202_20200918_02_T2_MTL
19881219,no,TM,Multispectral_LT04_L2SR_008113_19881219_20200917_02_T2_MTL
19721230,no,MSS,
19721210,unclear,MSS,
