date,presence,source,notes
19861214,yes,TM,
19841226,no,MSS,
20021218,yes,ETM,
19560701,yes,study,"Novatti, R. 1959. Notas sobre una roqueria de pinguin emperador en el Mar de Weddell. Contrib. Inst. Antart. Argent. 34, 1–10"
