date,presence,source,notes
20190701,yes,study,from MAPPPD: 10.1002/rse2.176
19861211,no,TM,
19881219,unclear,TM,
19751205,unclear,MSS,
19721214,unclear,MSS,
19991214,unclear,ETM,
20011119,unclear,ETM,
19991216,unclear,ETM,
