date,presence,source,notes
19860701,yes,study,"Hempel, G., and B. Stonehouse. 1987. Aerial counts of penguins, seals and whales in the eastern Weddell Sea. Berichte zur Polarforschung 39, 227–220"
20001228,yes,ETM,
20021213,yes,ETM,
