date,presence,source,notes
20021231,unclear,ETM,
20011212,unclear,ETM,
20011119,unclear,ETM,
19840701,yes,study,"Kato, Akiko & Watanabe, Kentaro & Naito, Yasuhiko. (2004). Population changes of Adélie and emperor penguins along the Prince Olav Coast and on the Riiser-Larsen Peninsula. Polar Bioscience. 17. 117-122. "
